id,corp_ticker,ratio,rank,emsec_id
1016,036000,27.55,2,47
1017,036010,100.0,1,121
1018,036030,100.0,1,106
1019,036090,73.3,1,112
1020,036090,26.7,2,110
1021,036120,100.0,1,6
1022,036170,100.0,1,121
1023,036180,100.0,1,127
1024,036190,100.0,1,48
1025,036200,100.0,1,110
1026,036220,100.0,1,130
1027,036420,67.52,1,96
1028,036420,32.48,2,101
1029,036460,100.0,1,22
1030,036480,100.0,1,128
1031,036530,81.27,1,84
1032,036530,18.73,2,48
1033,036540,100.0,1,109
1034,036560,100.0,1,62
1035,036570,100.0,1,116
1036,036580,72.82,1,74
1037,036580,27.18,2,75
1038,036620,100.0,1,90
1039,036630,74.48,1,124
1040,036630,25.52,2,19
1041,036640,81.77,1,30
1042,036640,18.23,2,39
1043,036670,74.67,1,92
1044,036670,25.33,2,30
1045,036690,56.91,1,86
1046,036690,43.09,2,123
1047,036710,100.0,1,121
1048,036800,100.0,1,6
1049,036810,100.0,1,110
1050,036830,69.57,1,110
1051,036830,30.43,2,122
1052,036890,100.0,1,59
1053,036930,100.0,1,110
1054,037030,100.0,1,121
1055,037070,100.0,1,86
1056,037230,63.69,1,38
1057,037230,36.31,2,41
1058,037270,100.0,1,96
1059,037330,68.0,1,111
1060,037330,32.0,2,84
1061,037350,51.2,1,47
1062,037350,48.8,2,45
1063,037370,70.75,1,30
1064,037370,29.25,2,24
